Machine_ID,Temperature_C,Vibration_mm_s,Pressure_bar,RPM,Oil_Level,Maintenance_Hours,Fault
M001,72.3,3.1,5.2,1480,0.85,120,No Fault
M002,88.7,7.8,4.9,1320,0.62,340,Bearing Wear
M003,65.1,2.4,5.5,1510,0.91,45,No Fault
M004,95.2,12.3,4.1,1150,0.41,520,Critical Fault
M005,70.8,3.5,5.3,1490,0.87,90,No Fault
M006,79.4,5.2,5.0,1430,0.74,210,Minor Fault
M007,68.9,2.8,5.4,1500,0.89,60,No Fault
M008,91.6,9.7,4.4,1240,0.55,430,Bearing Wear
M009,66.3,2.6,5.5,1505,0.92,30,No Fault
M010,85.1,6.9,4.7,1360,0.67,290,Minor Fault
M011,73.5,3.3,5.1,1475,0.84,140,No Fault
M012,98.4,14.1,3.9,1100,0.38,580,Critical Fault
M013,67.2,2.7,5.5,1502,0.90,55,No Fault
M014,82.6,6.1,4.8,1395,0.71,260,Minor Fault
M015,71.1,3.0,5.2,1485,0.86,100,No Fault
M016,89.3,8.2,4.5,1310,0.60,360,Bearing Wear
M017,64.8,2.3,5.6,1515,0.93,40,No Fault
M018,76.9,4.5,5.0,1450,0.79,175,No Fault
M019,93.7,11.1,4.2,1190,0.47,490,Critical Fault
M020,69.5,2.9,5.4,1496,0.88,75,No Fault
M021,84.2,6.6,4.8,1370,0.69,280,Minor Fault
M022,72.8,3.2,5.2,1478,0.85,125,No Fault
M023,87.6,7.5,4.6,1330,0.63,330,Bearing Wear
M024,66.7,2.5,5.5,1508,0.91,50,No Fault
M025,94.8,11.8,4.1,1160,0.43,510,Critical Fault
M026,70.2,3.4,5.3,1492,0.87,95,No Fault
M027,80.1,5.6,5.0,1420,0.76,220,Minor Fault
M028,68.3,2.7,5.4,1503,0.90,65,No Fault
M029,90.9,9.2,4.4,1260,0.57,420,Bearing Wear
M030,65.9,2.4,5.5,1507,0.92,35,No Fault
M031,77.4,4.7,5.0,1445,0.80,180,No Fault
M032,96.1,13.2,4.0,1130,0.40,555,Critical Fault
M033,67.6,2.6,5.5,1504,0.91,58,No Fault
M034,83.4,6.4,4.8,1380,0.70,270,Minor Fault
M035,71.7,3.1,5.2,1483,0.86,110,No Fault
M036,88.1,7.9,4.6,1315,0.61,350,Bearing Wear
M037,64.5,2.2,5.6,1518,0.93,38,No Fault
M038,75.6,4.2,5.1,1455,0.81,165,No Fault
M039,92.4,10.6,4.3,1210,0.50,475,Critical Fault
M040,69.0,2.8,5.4,1498,0.88,80,No Fault
M041,81.7,5.9,4.9,1405,0.73,240,Minor Fault
M042,73.1,3.3,5.1,1477,0.84,135,No Fault
M043,86.9,7.2,4.7,1340,0.65,320,Bearing Wear
M044,67.0,2.5,5.5,1506,0.91,48,No Fault
M045,97.7,13.8,3.9,1110,0.39,570,Critical Fault
M046,70.5,3.4,5.3,1491,0.87,92,No Fault
M047,79.6,5.4,5.0,1428,0.75,215,No Fault
M048,68.6,2.7,5.4,1501,0.90,62,No Fault
M049,91.2,9.5,4.4,1250,0.56,435,Bearing Wear
M050,66.1,2.4,5.5,1509,0.92,32,No Fault
